Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,SUV,"7,100",Mar 2023,Kia Seltos,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",157.81bhp,17.9 kmpl,https://www.cardekho.com/used-car-details/used-Kia-Seltos-Gtx-Plus-Turbo-Dct-cars-New-Delhi_d71f5a45-2bfd-4c2c-92a8-6fb6548733e3.htm,₹ 20.25 Lakh,2023
Petrol,Hatchback,"34,936",Aug 2016,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",83.1bhp,21.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Delta-cars-Noida_1697e4d2-85f7-4bd6-8561-cc700d6d096f.htm,₹ 4.73 Lakh,2016
Petrol,Hatchback,"64,071",Jun 2011,Honda Jazz,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",88.8bhp,16.7 kmpl,https://www.cardekho.com/buy-used-car-details/used-Honda-Jazz-X-cars-Ghaziabad_bc6c55de-2a52-45c9-b037-51042f9d7664.htm,₹ 2.52 Lakh,2011
Petrol,SUV,"10,000",Jan 2022,Honda WR-V,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",88.50bhp,16.5 kmpl,https://www.cardekho.com/used-car-details/used-Honda-Wr-v-Vx-cars-New-Delhi_1ddc51c5-4948-4a12-944f-47cefdef232c.htm,₹ 9.50 Lakh,2022
Petrol,Hatchback,"60,443",Nov 2018,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",83.1bhp,21.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Cvt-Alpha-cars-Ghaziabad_b3f6541f-0d97-4ba4-9e78-7d840ca75369.htm,₹ 6.33 Lakh,2018
Petrol,Sedan,"56,000",Aug 2017,Honda City,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",117.3bhp,18 kmpl,https://www.cardekho.com/used-car-details/used-Honda-City-I-Vtec-Cvt-Vx-cars-New-Delhi_61d0c706-b9b8-4a49-949c-d11ae53d97c4.htm,₹ 8.75 Lakh,2017
Petrol,Hatchback,"10,056",Feb 2015,Maruti Swift,Second Owner,"Power Steering, Low Fuel Warning Light, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist",88.50bhp,22.38 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Lxi-cars-Noida_6e7c6900-95fc-4edd-8d98-dcbbce0321d8.htm,₹ 4.13 Lakh,2015
Petrol,Sedan,"13,000",Dec 2020,Honda City,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",117.6bhp,17.4 kmpl,https://www.cardekho.com/used-car-details/used-Honda-City-I-vtec-V-cars-New-Delhi_042aa84a-2be6-4708-89f5-260362ab1e19.htm,₹ 11 Lakh,2020
Diesel,SUV,"80,000",Oct 2020,Hyundai Creta,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",113.98bhp,,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-S-Diesel-Bsvi-cars-New-Delhi_0632269e-01fc-4f81-a9b7-8f407fd49a7c.htm,₹ 12.50 Lakh,2020
Diesel,SUV,"53,000",Apr 2019,Land Rover Range Rover Evoque,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",177bhp,15.68 kmpl,https://www.cardekho.com/used-car-details/used-Land-Rover-Range-Rover-Evoque-2.0-Td4-Se-cars-New-Delhi_93f39016-102a-443e-bff2-a05a2a078eda.htm,₹ 41.50 Lakh,2019
Petrol,SUV,"1,10,000",2012,Maruti Grand Vitara,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",163.5bhp,10.4 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Grand-Vitara-2.4-Mt-cars-New-Delhi_9b55b376-e985-44fe-8a7d-b28fe115914f.htm,₹ 6.50 Lakh,2012
Petrol,Hatchback,"60,000",2012,Maruti Wagon R,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",67.1bhp,18.9 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Vxi-Minor-cars-Ghaziabad_53e4893c-b23f-44a1-a449-aeff1625be53.htm,₹ 3 Lakh,2012
Petrol,Sedan,"22,000",Oct 2022,Mercedes-Benz C-Class,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",201.15bhp,16.9 kmpl,https://www.cardekho.com/used-car-details/used-Mercedes-benz-C-class-C-200-Bsvi-cars-New-Delhi_3112c29e-1692-4649-bde7-1815e6c0b0ee.htm,₹ 57 Lakh,2022
Petrol,Hatchback,"30,000",2022,Maruti Swift,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",88.50bhp,22.38 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vxi-Bsvi-cars-Gurgaon_b826fe2a-839c-411e-b1d3-c8044afd16fa.htm,₹ 7.13 Lakh,2022
Petrol,SUV,"90,000",2015,Ford Ecosport,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",110.4bhp,15.63 kmpl,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-1.5-Ti-Vct-At-Titanium-Bsiv-cars-Noida_0396f4cb-066a-4658-87f6-06b964a15ae0.htm,₹ 5.15 Lakh,2015
Petrol,Hatchback,"50,000",2020,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.80bhp,21.01 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-Zeta-cars-Noida_ce768199-9112-4f0b-b28d-224cf59caebc.htm,₹ 6 Lakh,2020
