Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,Hatchback,"20,000",Jul 2017,Hyundai Grand i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",81.86bhp,18.9 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Sportz-Option-At-cars-Bangalore_61f6b9ea-3f27-46fa-93c5-59a99aca2c5f.htm,₹ 6.45 Lakh,2017
Diesel,SUV,"1,20,000",2013,Audi Q7,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",241.4bhp,12.07 kmpl,https://www.cardekho.com/used-car-details/used-Audi-Q7-3.0-Tdi-Quattro-Premium-Plus-cars-Bangalore_1fc42c56-80c2-4ee0-a0cb-f9ed8ababd53.htm,₹ 19.75 Lakh,2013
Petrol,Hatchback,"45,578",Jan 2016,Hyundai i20,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",81.83bhp,18.6 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Asta-1.2-cars-Bangalore_c24fc607-4f07-43ed-ad46-e5eb4ccc10f4.htm,₹ 6.95 Lakh,2016
Petrol,Sedan,"1,00,000",2013,Volkswagen Jetta,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",120.33bhp,14.69 kmpl,https://www.cardekho.com/used-car-details/used-Volkswagen-Jetta-1.4-Tsi-Comfortline-cars-Bangalore_18eb3740-dab0-4710-83bb-b17cb788e619.htm,₹ 5 Lakh,2013
Diesel,Sedan,"1,00,000",Aug 2014,BMW 3 Series,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",190bhp,22.69 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-3-Series-320d-Luxury-Line-cars-Bangalore_28d5e2df-fbe2-49c9-86d2-1ceef89ac84e.htm,₹ 16.44 Lakh,2014
Petrol,SUV,"42,000",Nov 2019,Ford Ecosport,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",121.36bhp,17 kmpl,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-1.5-Petrol-Titanium-Plus-Bsiv-cars-Bangalore_63cdea51-c488-45e0-8ba6-5bc51e295634.htm,₹ 8.95 Lakh,2019
Petrol,Hatchback,"90,000",2013,Hyundai i10,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Centeral Locking, Driver Air Bag, Cd Player",78.9bhp,20.36 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I10-Sportz-Option-cars-Bangalore_6f270bf4-8f82-44a8-bf85-9e62abf0e2b1.htm,₹ 3.50 Lakh,2013
Diesel,Sedan,"70,000",2012,Hyundai Verna,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",126.32bhp,22.32 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-1.6-Sx-cars-Bangalore_5bbd05d7-d477-4247-b33f-57842344d610.htm,₹ 5.50 Lakh,2012
Diesel,SUV,"1,00,000",2010,Ford Endeavour,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",153.86bhp,11.4 kmpl,https://www.cardekho.com/used-car-details/used-Ford-Endeavour-3.0l-4x4-At-cars-Bangalore_ace13852-bc5d-4ba1-85e3-add4b4170349.htm,₹ 7.50 Lakh,2010
Petrol,Hatchback,"16,306",Mar 2017,Maruti Ignis,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",81.80bhp,20.89 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Ignis-1.2-Zeta-Bsiv-cars-Bangalore_7c23cac9-d8e7-41fd-beba-8256c7ef959c.htm,₹ 5.81 Lakh,2017
