Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,Hatchback,"10,000",2019,Hyundai i20,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.86bhp,18.6 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Petrol-Spotz-cars-Kolkata_87f9226e-975b-45d9-b707-d7798313e098.htm,₹ 5.50 Lakh,2019
Petrol,Hatchback,"10,000",2021,Hyundai Grand i10 Nios,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.86bhp,20.7 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Nios-Sportz-cars-Kolkata_28bd41a3-2263-4dd5-9563-787e946553d5.htm,₹ 6.50 Lakh,2021
Petrol,Sedan,"49,817",Nov 2015,Honda City,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",116.3bhp,16.8 kmpl,https://www.cardekho.com/used-car-details/used-Honda-City-V-Mt-cars-Kolkata_cd712799-44fb-4bff-b0f9-5307c416aedb.htm,₹ 4.49 Lakh,2015
Petrol,Hatchback,"10,000",2021,Hyundai Grand i10 Nios,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.86bhp,20.7 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Nios-Sportz-cars-Kolkata_333f5f13-25f4-4525-9591-c0c22a777775.htm,₹ 6.50 Lakh,2021
Petrol,Hatchback,"30,000",2016,Renault KWID,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",67bhp,23.01 kmpl,https://www.cardekho.com/used-car-details/used-Renault-Kwid-1.0-Rxt-cars-Kolkata_fc769ba7-2e27-4dc3-a94d-b9a599b6cdf0.htm,₹ 2.50 Lakh,2016
Petrol,SUV,"10,000",2022,Tata Nexon,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",118.35bhp,17.33 kmpl,https://www.cardekho.com/used-car-details/used-Tata-Nexon-Xz-Plus-Bsvi-cars-Kolkata_1e367267-b028-43a9-b16f-c8afbcb78e30.htm,₹ 8.21 Lakh,2022
Diesel,Hatchback,"20,000",2013,Hyundai Grand i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",70bhp,24 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Crdi-Sportz-cars-Kolkata_691b52f4-1cc7-4b0f-81db-9a459667b3ff.htm,₹ 3 Lakh,2013
Petrol,MUV,"10,000",2021,Maruti XL6,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",103.2bhp,19.01 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Xl6-Alpha-cars-Kolkata_015283b3-606d-4d0b-a2f5-cdf7f2e8b6d1.htm,₹ 9.50 Lakh,2021
Diesel,SUV,"80,000",2015,Mahindra XUV500,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",140bhp,16 kmpl,https://www.cardekho.com/used-car-details/used-Mahindra-Xuv500-W10-1.99-Mhawk-cars-Kolkata_a746d511-d9bb-4e53-9fca-9f00110fe84b.htm,₹ 7 Lakh,2015
Diesel,Sedan,"70,000",2014,Hyundai Xcent,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",71.01bhp,24.4 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Xcent-1.1-Crdi-S-Option-cars-Kolkata_04f7a144-2f8f-4799-b895-63fbc9441d92.htm,₹ 2.80 Lakh,2014
Petrol,Hatchback,"6,347",Jan 2021,Maruti Swift,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",81.80bhp,21.21 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Zxi-Plus-cars-Kolkata_222b159e-9f88-4a2d-8caa-8215b42b8e5c.htm,₹ 6.63 Lakh,2020
Petrol,Hatchback,"19,437",Apr 2019,Maruti Ignis,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",81.80bhp,20.89 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Ignis-1.2-Amt-Delta-Bsiv-cars-Kolkata_bf4361d8-ec80-4681-9a15-a29ba59587f9.htm,₹ 5.59 Lakh,2019
Diesel,Hatchback,"61,262",Jul 2019,Maruti Swift,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",74bhp,28.4 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vdi-cars-Kolkata_92539cbd-837c-4735-be4d-3b9763fa86c9.htm,₹ 5 Lakh,2019
Petrol,SUV,"6,059",Mar 2021,Tata Nexon,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",118.35bhp,17.33 kmpl,https://www.cardekho.com/buy-used-car-details/used-Tata-Nexon-Xz-Plus-S-Bsvi-cars-Kolkata_4f03d04e-b2f6-41a0-96c6-9498aaae8aa3.htm,₹ 9.34 Lakh,2021
