Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,Hatchback,"1,10,000",2018,Maruti Celerio,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",67.04bhp,23.1 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-Zxi-Optional-Mt-Bsiv-cars-Hyderabad_f6874b3a-49e7-4268-bdfb-ff73d853a923.htm,₹ 3.80 Lakh,2018
Petrol,Hatchback,"48,659",Apr 2012,Hyundai i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Power Antenna, Centeral Locking, Day Night Rear View Mirror",78.9bhp,20.36 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-I10-Magna-cars-Hyderabad_6cf82659-b207-4030-88d6-009f19bc13b8.htm,₹ 2.64 Lakh,2011
Petrol,Hatchback,"26,970",Sept 2019,Hyundai Santro,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",68bhp,20.3 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Santro-Sportz-Amt-Bsiv-cars-Hyderabad_34e5077c-184b-46a6-8217-2e22351f8a8f.htm,₹ 5.31 Lakh,2019
Petrol,Sedan,"92,000",Jun 2007,Mercedes-Benz C-Class,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",178 ,11.7 kmpl,https://www.cardekho.com/used-car-details/used-Mercedes-benz-C-class-C-200-Kompressor-Elegance-Mt-cars-Hyderabad_67968a53-95f1-4efc-8c89-5b13852d3ebe.htm,₹ 5.25 Lakh,2007
Diesel,SUV,"29,766",Jun 2022,Tata Nexon,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",113.42bhp,23.22 kmpl,https://www.cardekho.com/buy-used-car-details/used-Tata-Nexon-Xm-Diesel-Bsvi-cars-Hyderabad_a28e1928-a4f3-47f6-99fd-859e94682bda.htm,₹ 10.24 Lakh,2022
Petrol,Hatchback,"6,580",Apr 2022,Renault KWID,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",67.06bhp,21.46 kmpl,https://www.cardekho.com/buy-used-car-details/used-Renault-Kwid-Climber-Bsvi-cars-Hyderabad_32291633-4dbf-477c-a770-4a43a9a66d84.htm,₹ 5.52 Lakh,2022
Diesel,SUV,"80,000",2011,BMW X1,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",184bhp,17.05 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-X1-Sdrive20d-cars-Hyderabad_54804f2f-bba9-420e-a07d-50162a81a1cb.htm,₹ 9.50 Lakh,2011
Petrol,Hatchback,"98,910",Mar 2012,Maruti Swift,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",88.50bhp,22.38 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Vxi-cars-Hyderabad_04374f8b-7aed-444c-981f-dc1f1ec0acbd.htm,₹ 3.82 Lakh,2012
Diesel,SUV,"80,000",2011,BMW X1,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",184bhp,17.05 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-X1-Sdrive20d-cars-Hyderabad_96e73f0b-0a0c-493c-84cf-0842ce3f48cd.htm,₹ 9.50 Lakh,2011
Petrol,Sedan,"48,247",Feb 2018,Maruti Ciaz,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",91.1bhp,19.12 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Ciaz-1.4-At-Delta-cars-Hyderabad_e6dcb143-394a-41b2-8727-9b30ae87a220.htm,₹ 7.15 Lakh,2017
Petrol,Hatchback,"54,515",Mar 2017,Honda Brio,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Radio",86.8bhp,19.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Honda-Brio-S-Mt-cars-Hyderabad_31c1942e-7b38-43b9-bbde-125e5f8bd001.htm,₹ 3.82 Lakh,2016
Diesel,SUV,"10,000",2018,Maruti Vitara Brezza,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",88.5bhp,24.3 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Vdi-cars-Hyderabad_e0949785-37e8-4c9a-b812-14d6dc826f5b.htm,₹ 8.60 Lakh,2018
